url,title,word_count,authors,ratings,archive_warnings,category,fandoms,relationships,characters,free_form_tags
https://archiveofourown.org/works/28776825,You Better Let Somebody Love You (Before It’s Too Late),13023,['ambivalentangst'],['Teen And Up Audiences'],['No Archive Warnings Apply'],['Gen'],"['Marvel Cinematic Universe', 'Spider-Man (Tom Holland Movies)', 'Iron Man (Movies)']",['Peter Parker & Tony Stark'],"['Peter Parker', 'Tony Stark', 'Pepper Potts', 'James Rhodes', 'May Parker (Spider-Man)']","['Homeless Peter Parker', 'Tony Stark Has a Heart', 'Tony Stark Has Issues', 'Alive May Parker', 'Good Parent May Parker', 'Identity Reveal', 'Angst', 'Whump', 'Hurt/Comfort', 'Post-Captain America: Civil War (Movie)', 'POV Tony Stark']"
https://archiveofourown.org/works/70154846,Warranty not Included,825,['RythmicLilly'],['Not Rated'],['Creator Chose Not To Use Archive Warnings'],['Gen'],"['Marvel Cinematic Universe', 'Marvel', 'Spider-Man (Tom Holland Movies)', 'Iron Man (Movies)']",['Peter Parker & Tony Stark'],"['Peter Parker', 'Tony Stark']","['Sickfic', 'Irondad', 'spiderson', 'Whump', 'Fluff', 'Comfort', 'Sicktember 2025']"
https://archiveofourown.org/works/74432011,Only 20 minutes to sleep (but you dream of some epiphany),2470,['thesmallestgirl'],['General Audiences'],['Creator Chose Not To Use Archive Warnings'],['Gen'],"['Spider-Man (Tom Holland Movies)', 'The Avengers (Marvel Movies)', 'Marvel Cinematic Universe']","['Peter Parker & Tony Stark', 'Avengers Team Members & Peter Parker']","['Peter Parker', 'Tony Stark', 'Steve Rogers', 'Natasha Romanov (Marvel)', 'Bruce Banner', 'Vision (Marvel)', 'Wanda Maximoff', 'Pepper Potts', 'Sam Wilson (Marvel)', 'James ""Rhodey"" Rhodes']","['Mentioned Aunt May Parker (Marvel)', 'Post-Movie: Spider-Man: No Way Home (2021)', 'Angst', 'Fluff', 'Fluff and Angst', 'Domestic Fluff', 'Avengers Team Members as Family (Marvel)']"
https://archiveofourown.org/works/75455726,Spies - Woes of poverty,4759,['Despondent_fate'],['Teen And Up Audiences'],['No Archive Warnings Apply'],['Gen'],"['Iron Man (Movies)', 'Spider-Man - All Media Types', 'Spider-Man (Tom Holland Movies)']","['Peter Parker & Tony Stark', 'Bruce Banner & Tony Stark', 'Kaine Parker & Peter Parker & Ben Reilly']","['Tony Stark', 'Bruce Banner', 'Peter Parker', 'Kaine Parker', 'Ben Reilly', 'Foggy Nelson']","['Crack', 'crackfic', 'Crack Treated Seriously', 'Intern Peter Parker', 'Human Disaster Peter Parker', 'Stark Industries Intern Peter Parker', 'Tony Stark Is a Mess', 'Coffee', 'Courtroom', 'Alcohol', 'Attempt at Humor', 'no beta we die like my sanity']"
https://archiveofourown.org/works/14876378,"At Length, He Smiles",1206,['ambivalentangst'],['Teen And Up Audiences'],['No Archive Warnings Apply'],['Gen'],"['Marvel Cinematic Universe', 'Spider-Man: Homecoming (2017)']",['Peter Parker & Tony Stark'],"['Peter Parker', 'Tony Stark']","['Sickfic', 'Happy Referenced', 'Exhaustion', 'Migraine', 'Whump', 'Angst', 'Angry Peter', 'Overworked Tony', 'Give Tony Stark A Break', 'Guilt', 'Iron Dad', 'trigger warning', 'Referenced Previous Bodily Harm', 'Prompt Fill']"
https://archiveofourown.org/works/16747786,He Can’t Just Be (Gone),2186,['ambivalentangst'],['Mature'],['Major Character Death'],['Gen'],"['Spider-Man: Homecoming (2017)', 'Marvel Cinematic Universe']","['Karen (Spider-Man: Homecoming) & Peter Parker', 'Peter Parker & Tony Stark']","['Karen (Spider-Man: Homecoming)', 'Peter Parker', 'Tony Stark', 'Friday (Marvel)']","['Karen POV', 'Avengers: Infinity War Part 1 (Movie) Compliant', 'outside pov', 'Karen Loves Her Boy', 'Angst', 'Peter Parker & Churros', 'Pseudo Big Sister FRIDAY']"
https://archiveofourown.org/works/35195623,Can’t take the heat,1544,['ChocolateAndRedbull'],['General Audiences'],['No Archive Warnings Apply'],['Gen'],"['The Avengers (Marvel Movies)', 'Spider-Man - All Media Types']",['Peter Parker & Tony Stark'],"['Peter Parker', 'Tony Stark']","[""Tony Stark Acting as Peter Parker's Parental Figure"", 'Peter Parker Needs a Hug', 'Precious Peter Parker', 'Hurt Peter Parker', 'Peter Parker Whump', 'Tony Stark Has a Heart', 'Parent Tony Stark', 'Protective Tony Stark', 'Sickfic', 'Sick Character', 'Sick Peter Parker', 'Fever']"
https://archiveofourown.org/works/18926560,Dad Level: 3000,5232,['whumphoarder'],['General Audiences'],['No Archive Warnings Apply'],['Gen'],"['Spider-Man: Homecoming (2017)', 'Iron Man (Movies)', 'The Avengers (Marvel Movies)', 'Marvel Cinematic Universe']","['Peter Parker & Tony Stark', 'Happy Hogan & Morgan Stark']","['Peter Parker', 'Tony Stark', 'Happy Hogan', 'Morgan Stark (Marvel Cinematic Universe)', 'Pepper Potts']","['Sickfic', 'Domestic Fluff', 'Fluff and Humor', 'Hurt/Comfort', 'Peter Parker Whump', 'Sick Peter Parker', 'Influenza', 'Vomiting', 'Disney Movies', 'Tea Parties', 'Nightmares', 'Tony Stark Has a Heart', ""Tony Stark Acting as Peter Parker's Parental Figure"", 'Not Avengers: Endgame (Movie) Compliant', 'basically i harvested the parts i liked from endgame and left the rest', 'Stark Lake House']"
https://archiveofourown.org/works/22178719,"Morgan Stark, M.D.",1173,['whumphoarder'],['General Audiences'],['No Archive Warnings Apply'],['Gen'],"['Iron Man (Movies)', 'Spider-Man (Tom Holland Movies)', 'The Avengers (Marvel Movies)', 'Marvel Cinematic Universe']","['Peter Parker & Morgan Stark (Marvel Cinematic Universe)', 'Peter Parker & Tony Stark']","['Peter Parker', 'Morgan Stark (Marvel Cinematic Universe)', 'Tony Stark']","['Fluff and Humor', 'Precious Morgan Stark (Marvel Cinematic Universe)', 'Peter Parker Is Good With Kids', 'Drabble', 'Parent Tony Stark', 'this is pretty silly', 'FYI', 'Stark Lake House']"
https://archiveofourown.org/works/75480001,"i'd take care of you, if you'd ask me to",1093,['harshestrealm'],['General Audiences'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Heated Rivalry (TV)'],['Shane Hollander/Ilya Rozanov'],"['Shane Hollander', 'Ilya Rozanov']","['Sick Fic', 'short fic about exploring vulnerabilities']"
https://archiveofourown.org/works/26421298,Shot to Hell,1942,['xxx_cat_xxx'],['General Audiences'],['No Archive Warnings Apply'],['Gen'],"['Marvel Cinematic Universe', 'The Avengers (Marvel Movies)', 'Spider-Man (Tom Holland Movies)']","['Peter Parker & Tony Stark', 'Bruce Banner & Peter Parker', 'Natasha Romanov & Tony Stark', 'Bruce Banner & Peter Parker & Tony Stark']","['Peter Parker', 'Tony Stark', 'Bruce Banner', 'Natasha Romanov (Marvel)']","['Hurt Peter Parker', 'dad tony', 'dad Bruce', 'Injury', 'Vomiting', 'AU where everyone is friends and they go on missions like it’s 2012', 'but with Spider-Man as their collectively adopted son', 'Who needs canon anyway', 'Hurt/Comfort', 'Peter Parker Whump', 'Fluff', 'Banter']"
https://archiveofourown.org/works/71264461,Can I Sleep In Your House Tonight?,6824,['CharlieDiscouri'],['Not Rated'],['No Archive Warnings Apply'],[],"['Percy Jackson and the Olympians - Rick Riordan', 'Percy Jackson and the Olympians & Related Fandoms - All Media Types', 'Percy Jackson and the Olympians (TV 2023)']","['Dionysus & Percy Jackson', 'Percy Jackson & Sally Jackson']","['Percy Jackson', 'Dionysus (Percy Jackson)', 'Sally Jackson (Percy Jackson)', 'Paul Blofis', 'Chiron (Percy Jackson)', 'Poseidon (Percy Jackson)', 'Castor (Percy Jackson)', 'Dakota (Percy Jackson)', 'Castor and Dakota are only mentioned']","['Depression', 'Depressed Percy Jackson', 'Traumatized Percy Jackson', 'Angst', 'Hurt/Comfort', 'Emotional Hurt/Comfort', 'Percy Jackson Needs a Hug', 'Good Parent Dionysus (Percy Jackson)', 'Mental Health Issues', 'Bipolar Disorder', 'Suicidal Thoughts', 'Suicide Attempt', 'Protective Dionysus (Percy Jackson)', 'Sally Jackson Critical']"
